----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 1.77911702 | 2893.54266667 | 1372 | 9 | 6070 | 5991 | 0 | 2203 | bnb: **3784** ; knapsack: **4** ; Total: **3788** | 0.00050002 | 0.08597170 | 0.00440762764412 | 0.00812031966080 | 0.42468126 | 0.0000708865398097 | 0.00932960000 | 0.43401086000 | 1 | 5 | 1.01318644634 | 0.139135340088 | 59 | 2.22917709898 | 6.68077674654 | knapsack: **539** ; bnb: **3784** ; cg: **1661** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.40835473 | 2768.28107692 | 1188 | 9 | 6577 | 6491 | 0 | 2517 | bnb: **3969** ; knapsack: **5** ; Total: **3974** | 0.00050002 | 0.08597170 | 0.00445068578069 | 0.00802198915651 | 0.45696880 | 0.0000704003697427 | 0.00807840000 | 0.46504720000 | 1 | 5 | 1.01324911416 | 0.138704425840 | 59 | 2.18286858727 | 6.42167380447 | knapsack: **581** ; bnb: **3969** ; cg: **1934** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.19442428 | 2645.61257143 | 965 | 11 | 7079 | 6989 | 0 | 2853 | bnb: **4131** ; knapsack: **5** ; Total: **4136** | 0.00050002 | 0.08597170 | 0.00442361631966 | 0.00784418039587 | 0.48287007 | 0.0000690900085849 | 0.00656200000 | 0.48943207000 | 1 | 5 | 1.01287737874 | 0.136834477696 | 59 | 2.14751752754 | 6.19154876473 | knapsack: **619** ; bnb: **4131** ; cg: **2232** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 0.97827527 | 2528.74053333 | 807 | 13 | 7580 | 7487 | 0 | 3153 | bnb: **4329** ; knapsack: **5** ; Total: **4334** | 0.00050002 | 0.08597170 | 0.00430090252141 | 0.00753200589650 | 0.52843906 | 0.0000705808815280 | 0.00548760000 | 0.53392666000 | 1 | 5 | 1.01242153065 | 0.133713678442 | 59 | 2.11179377588 | 5.98510293992 | knapsack: **659** ; bnb: **4329** ; cg: **2492** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 0.73118580 | 2416.14900000 | 640 | 14 | 8109 | 7986 | 0 | 3516 | bnb: **4465** ; knapsack: **5** ; Total: **4470** | 0.00050002 | 0.08597170 | 0.00416160002275 | 0.00721073260748 | 0.56446584 | 0.0000706819233659 | 0.00435200000 | 0.56881784000 | 1 | 5 | 1.01540195342 | 0.162596942705 | 59 | 2.08815426997 | 5.79698212889 | knapsack: **711** ; bnb: **4465** ; cg: **2802** ; srd: **8** |
| bustabit-2019-2020-tiny-utxotargets | 0.44284405 | 2305.04247059 | 433 | 14 | 8683 | 8486 | 0 | 3905 | bnb: **4572** ; knapsack: **9** ; Total: **4581** | 0.00050001 | 0.08597170 | 0.00394619783355 | 0.00689677928326 | 0.58948440 | 0.0000694655196795 | 0.00294440000 | 0.59242880000 | 1 | 5 | 1.02321470658 | 0.217779738436 | 59 | 2.06987980203 | 5.62496708590 | knapsack: **750** ; bnb: **4572** ; cg: **3153** ; srd: **11** |
| bustabit-2019-2020-tiny-utxotargets | 1.56972448 | 2193.86833333 | 200 | 15 | 9296 | 8985 | 0 | 4222 | bnb: **4753** ; knapsack: **10** ; Total: **4763** | 0.00050001 | 0.08597170 | 0.00374202280436 | 0.00667703049882 | 0.64138154 | 0.0000713835882026 | 0.00136000000 | 0.64274154000 | 1 | 7 | 1.03461324430 | 0.283533564845 | 59 | 2.07924318308 | 5.49989454742 | knapsack: **796** ; bnb: **4753** ; cg: **3425** ; srd: **11** |
| bustabit-2019-2020-tiny-utxotargets | 1.88088907 | 2105.82505263 | 559 | 15 | 9802 | 9485 | 0 | 4545 | bnb: **4929** ; knapsack: **11** ; Total: **4940** | 0.00050001 | 0.08597170 | 0.00358458691089 | 0.00653987257597 | 0.68373434 | 0.0000720858555614 | 0.00380120000 | 0.68753554000 | 1 | 7 | 1.03342119135 | 0.278273712753 | 59 | 2.10954138113 | 5.40249628425 | knapsack: **837** ; bnb: **4929** ; cg: **3708** ; srd: **11** |
| bustabit-2019-2020-tiny-utxotargets | 1.51567098 | 2032.63180000 | 546 | 15 | 10329 | 9985 | 0 | 4767 | bnb: **5206** ; knapsack: **12** ; Total: **5218** | 0.00050001 | 0.08597170 | 0.00353929774072 | 0.00643878379458 | 0.70889728 | 0.0000709962223335 | 0.00371280000 | 0.71261008000 | 1 | 7 | 1.03445167752 | 0.278458119962 | 59 | 2.07791687531 | 5.26987405763 | knapsack: **845** ; bnb: **5206** ; cg: **3923** ; srd: **11** |
| bustabit-2019-2020-tiny-utxotargets | 1.20433933 | 1963.69276190 | 709 | 15 | 10840 | 10485 | 0 | 4956 | bnb: **5517** ; knapsack: **12** ; Total: **5529** | 0.00050001 | 0.08597170 | 0.00346602984262 | 0.00633541405549 | 0.75235370 | 0.0000717552408202 | 0.00482120000 | 0.75717490000 | 1 | 7 | 1.03385789223 | 0.274327669730 | 59 | 2.08783977110 | 5.18069247774 | knapsack: **848** ; bnb: **5517** ; cg: **4108** ; srd: **12** |
