Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,0.30768581,183.807428571,134,20,8285,6980,0,6147,bnb: **833** ; Total: **833**,0.00002067,0.09397657,0.00212918265821,0.00725084114512,0.55553834,0.0000795900200573,0.000911200000,0.556449540000,1,15,1.18696275072,0.812128086566,2,1.88065902579,0.324212531166,knapsack: **2251** ; srd: **277** ; cg: **3619** ; bnb: **833**
bustabit-2019-2020-tiny-utxotargets,0.03068206,179.580533333,20,22,8826,7478,0,6574,bnb: **904** ; Total: **904**,0.00002067,0.09397657,0.00216481956039,0.00733185008590,0.60669428,0.0000811305536240,0.000136000000,0.606830280000,1,15,1.18026210217,0.794272553618,2,1.87911206205,0.326018799872,knapsack: **2397** ; srd: **291** ; cg: **3886** ; bnb: **904**
bustabit-2019-2020-tiny-utxotargets,0.31160378,184.215000000,168,24,9377,7976,0,7014,bnb: **962** ; Total: **962**,0.00001886,0.09397657,0.00215567710436,0.00721095480137,0.64622386,0.0000810210456369,0.00114240000,0.64736626000,1,15,1.17565195587,0.785041309125,2,1.87938816449,0.325696055059,knapsack: **2547** ; srd: **302** ; cg: **4165** ; bnb: **962**
bustabit-2019-2020-tiny-utxotargets,0.03118619,181.722705882,22,24,9960,8476,0,7456,bnb: **1020** ; Total: **1020**,0.00001886,0.09397657,0.00210785363868,0.00700938173525,0.67291157,0.0000793902277017,0.000149600000,0.673061170000,1,15,1.17508258613,0.783018698541,2,1.87966021708,0.325377642437,knapsack: **2686** ; srd: **314** ; cg: **4456** ; bnb: **1020**
bustabit-2019-2020-tiny-utxotargets,0.23212597,183.123000000,129,26,10540,8973,0,7883,bnb: **1090** ; Total: **1090**,0.00001886,0.09397657,0.00210197868959,0.00707960470909,0.72516849,0.0000808167268472,0.000877200000,0.726045690000,1,15,1.17463501616,0.780484414784,2,1.87852446228,0.326697300505,knapsack: **2810** ; srd: **329** ; cg: **4744** ; bnb: **1090**
bustabit-2019-2020-tiny-utxotargets,0.42529148,181.760947368,210,27,11156,9471,0,8325,bnb: **1146** ; Total: **1146**,0.00001886,0.09397657,0.00208674229670,0.00700672683880,0.76579435,0.0000808567574702,0.00142800000,0.76722235000,1,15,1.17791151937,0.796721044925,2,1.87899904973,0.326145598668,knapsack: **2960** ; srd: **352** ; cg: **5013** ; bnb: **1146**
bustabit-2019-2020-tiny-utxotargets,0.08993325,181.314300000,55,27,11762,9971,0,8774,bnb: **1197** ; Total: **1197**,0.00001886,0.09397657,0.00204418444039,0.00683593466710,0.79681018,0.0000799127650186,0.000374000000,0.797184180000,1,15,1.17962090061,0.797645668538,2,1.87995186040,0.325034120097,knapsack: **3116** ; srd: **385** ; cg: **5273** ; bnb: **1197**
bustabit-2019-2020-tiny-utxotargets,0.28878865,181.770000000,156,28,12356,10470,0,9210,bnb: **1260** ; Total: **1260**,0.00001886,0.09397657,0.00199837787839,0.00667595013877,0.84519641,0.0000807255405922,0.00106080000,0.84625721000,1,15,1.18013371538,0.794134326047,2,1.87965616046,0.325378720415,knapsack: **3272** ; srd: **411** ; cg: **5527** ; bnb: **1260**
bustabit-2019-2020-tiny-utxotargets,0.39332776,181.415818182,208,30,12993,10968,0,9647,bnb: **1321** ; Total: **1321**,0.00001886,0.09397657,0.00202671318130,0.00695094495039,0.88762114,0.0000809282585704,0.00141440000,0.88903554000,1,15,1.18462800875,0.806032256643,2,1.87955871627,0.325491690149,knapsack: **3427** ; srd: **437** ; cg: **5783** ; bnb: **1321**
bustabit-2019-2020-tiny-utxotargets,0.14168352,182.035130435,91,30,13559,11468,0,10095,bnb: **1373** ; Total: **1373**,0.00001886,0.09397657,0.00203352337791,0.00697842508429,0.92126098,0.0000803331862574,0.000618800000,0.921879780000,1,15,1.18233344960,0.797754586074,2,1.88027554935,0.324653195469,knapsack: **3562** ; srd: **458** ; cg: **6075** ; bnb: **1373**
bustabit-2019-2020-tiny-utxotargets,0.42326702,181.430166667,217,31,14124,11967,0,10530,bnb: **1437** ; Total: **1437**,0.00001886,0.09397657,0.00201404827730,0.00687311490829,0.96568389,0.0000806955703184,0.00147560000,0.96715949000,1,15,1.18024567561,0.792019470633,2,1.87991977939,0.325068902426,knapsack: **3685** ; srd: **473** ; cg: **6372** ; bnb: **1437**
bustabit-2019-2020-tiny-utxotargets,0.09488844,181.811440000,55,32,14720,12466,0,10961,bnb: **1505** ; Total: **1505**,0.00001886,0.09397657,0.00201821899644,0.00693719053159,1.01015075,0.0000810324683138,0.000374000000,1.01052475000,1,15,1.18081180812,0.792587509774,2,1.87927161880,0.325824423975,knapsack: **3807** ; srd: **486** ; cg: **6668** ; bnb: **1505**
bustabit-2019-2020-tiny-utxotargets,0.29199104,182.679000000,159,33,15312,12965,0,11399,bnb: **1566** ; Total: **1566**,0.00001886,0.09397657,0.00201837301869,0.00693629982632,1.04680533,0.0000807408661782,0.00108120000,1.04788653000,1,15,1.18102583880,0.790258705153,2,1.87921326649,0.325891838235,knapsack: **3964** ; srd: **510** ; cg: **6925** ; bnb: **1566**
bustabit-2019-2020-tiny-utxotargets,0.50006048,180.667407407,259,34,15894,13463,0,11834,bnb: **1629** ; Total: **1629**,0.00001886,0.09397657,0.00199977867585,0.00682908106689,1.08495853,0.0000805881697987,0.00176120000,1.08671973000,1,15,1.18056896680,0.786721099108,2,1.87900170839,0.326137402988,knapsack: **4118** ; srd: **531** ; cg: **7185** ; bnb: **1629**
bustabit-2019-2020-tiny-utxotargets,0.15722279,182.063285714,94,34,16496,13963,0,12261,bnb: **1702** ; Total: **1702**,0.00001886,0.09397657,0.00196962397194,0.00671221968642,1.13594343,0.0000813538229607,0.000639200000,1.13658263000,1,15,1.18140800688,0.786447551112,2,1.87810642412,0.327174568452,knapsack: **4258** ; srd: **560** ; cg: **7443** ; bnb: **1702**
bustabit-2019-2020-tiny-utxotargets,0.31078701,182.059103448,172,35,17111,14462,0,12704,bnb: **1758** ; Total: **1758**,0.00001886,0.09397657,0.00193812825094,0.00659670927487,1.17205135,0.0000810435174941,0.00116960000,1.17322095000,1,15,1.18316968607,0.791603449419,2,1.87844004979,0.326788177468,knapsack: **4424** ; srd: **588** ; cg: **7692** ; bnb: **1758**
bustabit-2019-2020-tiny-utxotargets,0.48106227,180.932733333,251,36,17721,14961,0,13138,bnb: **1823** ; Total: **1823**,0.00001886,0.09397657,0.00191096089359,0.00648898289968,1.20581000,0.0000805968852349,0.00170680000,1.20751680000,1,15,1.18447964708,0.796333349219,2,1.87814985629,0.327123583331,knapsack: **4586** ; srd: **615** ; cg: **7937** ; bnb: **1823**
