id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste,max_excess,excess
14596,0.00050000,0.00001925,0.00012415,0.000125000,knapsack,1,0,2,0.00091821,118,163,1537,0,0
14597,0.00010000,0.00000899,0.00005794,0.0000583766233766,knapsack,1,0,2,0.00050430,117,163,869,0,0
14598,0.00010000,0.00000500,0.00003221,0.0000324675324675,knapsack,1,0,2,0.00088111,117,163,608,0,0
14599,0.00010000,0.00000843,0.00005433,0.0000547402597403,cg,1,0,2,0.00146678,117,163,832,0,0
14600,0.00010000,0.00001725,0.00011128,0.000112012987013,cg,1,0,2,0.00146935,117,163,1407,0,0
14601,0.00050000,0.00003254,0.00021068,0.000293153153153,bnb,1,0,1,,116,162,2116,0,0
14602,0.00010000,0.00001568,0.00010115,0.000101818181818,cg,1,0,2,0.00172393,116,162,1304,0,0
14603,0.00010000,0.00000718,0.00004628,0.0000466233766234,knapsack,1,0,2,0.00053207,116,162,751,0,0
14604,0.00010000,0.00000352,0.00002268,0.0000228571428571,knapsack,1,0,2,0.00072268,116,162,512,0,0
14605,0.00050000,0.00000672,0.00004712,0.0000605405405405,bnb,1,0,1,,116,161,417,0,0
14606,0.00010000,0.00002456,0.00015844,0.000159480519481,knapsack,1,0,2,0.00080728,116,161,1883,0,0
14607,0.00010000,0.00004730,0.00030512,0.000307142857143,cg,1,0,2,0.00150725,116,161,3365,0,0
14608,0.00010000,0.00004822,0.00031108,0.000313116883117,cg,1,0,2,0.00169963,116,161,3425,0,0
14609,0.00010000,0.00005438,0.00035080,0.000353116883117,knapsack,1,0,2,0.00078629,116,161,3826,0,0
14610,0.00010000,0.00006057,0.00039072,0.000393311688312,cg,1,0,2,0.00142177,116,161,4230,0,0
14611,0.00010000,0.00005504,0.00035509,0.000357402597403,knapsack,1,0,2,0.00054587,116,161,3869,0,0
14612,0.00010000,0.00006127,0.00039528,0.000397857142857,cg,1,0,2,0.00139214,116,161,4275,0,0
14613,0.00050000,0.00007405,0.00061489,0.000667117117117,bnb,1,0,1,,116,160,4084,0,0
14614,0.00050000,0.00010109,0.00080301,0.000910720720721,bnb,1,0,1,,116,159,5772,0,0
14615,0.00010000,0.00015403,0.00099370,0.00100019480519,cg,1,0,2,0.00129365,116,159,10353,0,0
14616,0.00010000,0.00014573,0.00094015,0.000946298701299,cg,1,0,2,0.00129927,116,159,9812,0,0
14617,0.00050000,0.00010782,0.00092398,0.000971351351351,bnb,1,0,1,,116,158,5792,0,0
14618,0.00010000,0.00015088,0.00097336,0.000979740259740,cg,1,0,2,0.00130771,116,158,10114,0,0
14619,0.00010000,0.00014970,0.00096578,0.000972077922078,cg,1,0,2,0.00127898,116,158,9968,0,0
14620,0.00010000,0.00014368,0.00092693,0.000932987012987,cg,1,0,2,0.00092025,116,158,9576,0,0
14621,0.00200000,0.00019952,0.00094109,0.000941132075472,srd,2,0,2,0.00170468,116,157,15178,0,0
14622,0.00010000,0.00012945,0.00083513,0.000840584415584,cg,1,0,2,0.00159489,115,157,8649,0,0
14623,0.00200000,0.00016068,0.00090717,0.000950769230769,bnb,2,0,1,,115,155,11169,0,0
