----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny | 369.69968304 | 1037.17316667 | 2315 | 4303 | 4436 | 1692 | 1 | 766 | bnb: **918** ; knapsack: **8** ; Total: **926** | 0.00010580 | 8.79986730 | 0.0933574767363 | 0.575742416128 | 0.15818569 | 0.0000934903605201 | 0.0157420000 | 0.1739276900 | 1 | 184 | 2.62174940898 | 6.62468189307 | 103 | 2.44680851064 | 5.97898017081 | knapsack: **85** ; srd: **67** ; bnb: **918** ; cg: **622** |
| bustabit-2019-2020-tiny | 422.02117857 | 1143.52569231 | 2539 | 4678 | 4685 | 1817 | 1 | 823 | bnb: **986** ; knapsack: **8** ; Total: **994** | 0.00010580 | 8.79986730 | 0.0904019041677 | 0.557424712167 | 0.16852574 | 0.0000927494441387 | 0.0172652000 | 0.1857909400 | 1 | 184 | 2.57842597688 | 6.40471821101 | 103 | 2.40121078701 | 5.83758318038 | knapsack: **101** ; srd: **71** ; bnb: **986** ; cg: **659** |
| bustabit-2019-2020-tiny | 462.19479287 | 1247.97971429 | 2674 | 5022 | 5020 | 1973 | 1 | 895 | bnb: **1070** ; knapsack: **8** ; Total: **1078** | 0.00010580 | 8.79986730 | 0.0876315828492 | 0.536386320759 | 0.17811481 | 0.0000902761327927 | 0.0181832000 | 0.1962980100 | 1 | 184 | 2.54434870755 | 6.16447033139 | 103 | 2.35428281804 | 5.63859833933 | knapsack: **108** ; srd: **82** ; bnb: **1070** ; cg: **713** |
| bustabit-2019-2020-tiny | 448.05856920 | 1349.87533333 | 2873 | 5373 | 5264 | 2122 | 1 | 971 | bnb: **1143** ; knapsack: **8** ; Total: **1151** | 0.00010580 | 8.79986730 | 0.0888462412358 | 0.521675586625 | 0.19340259 | 0.0000911416540999 | 0.0195364000 | 0.2129389900 | 1 | 184 | 2.48067860509 | 5.95938270754 | 103 | 2.30254476909 | 5.45219532660 | knapsack: **111** ; srd: **85** ; bnb: **1143** ; cg: **783** |
| bustabit-2019-2020-tiny | 440.03206171 | 1444.67500000 | 2904 | 5662 | 5671 | 2333 | 1 | 1064 | bnb: **1260** ; knapsack: **9** ; Total: **1269** | 0.00010580 | 8.79986730 | 0.0846532789286 | 0.500411313276 | 0.21012856 | 0.0000900679639949 | 0.0197472000 | 0.2298757600 | 1 | 184 | 2.43077582512 | 5.71942877204 | 103 | 2.24860694385 | 5.23249380429 | knapsack: **129** ; srd: **99** ; bnb: **1260** ; cg: **845** |
| bustabit-2019-2020-tiny | 448.50417892 | 1531.63800000 | 2962 | 5993 | 6060 | 2502 | 1 | 1127 | bnb: **1366** ; knapsack: **9** ; Total: **1375** | 0.00010580 | 8.79986730 | 0.0826922026353 | 0.487977875126 | 0.21909405 | 0.0000875675659472 | 0.0201416000 | 0.2392356500 | 1 | 184 | 2.42206235012 | 5.55292597363 | 103 | 2.21063149480 | 5.07733071269 | knapsack: **148** ; srd: **110** ; bnb: **1366** ; cg: **878** |
| bustabit-2019-2020-tiny | 455.13804523 | 1616.63877778 | 3093 | 6301 | 6357 | 2694 | 1 | 1230 | bnb: **1455** ; knapsack: **9** ; Total: **1464** | 0.00010580 | 8.79986730 | 0.0785698555772 | 0.468843976431 | 0.23716722 | 0.0000880353452116 | 0.0210324000 | 0.2581996200 | 1 | 184 | 2.35968819599 | 5.38521521763 | 103 | 2.16889383816 | 4.90292520518 | knapsack: **154** ; srd: **119** ; bnb: **1455** ; cg: **966** |
| bustabit-2019-2020-tiny | 458.06064213 | 1695.10894737 | 3176 | 6598 | 6731 | 2897 | 1 | 1329 | bnb: **1559** ; knapsack: **9** ; Total: **1568** | 0.00010580 | 8.79986730 | 0.0762440586682 | 0.454268696835 | 0.25213446 | 0.0000870329513290 | 0.0215968000 | 0.2737312600 | 1 | 184 | 2.32343803935 | 5.20318971434 | 103 | 2.14221608561 | 4.76076154349 | knapsack: **180** ; srd: **124** ; bnb: **1559** ; cg: **1034** |
| bustabit-2019-2020-tiny | 444.46225856 | 1771.58950000 | 3244 | 6926 | 7135 | 3069 | 1 | 1420 | bnb: **1640** ; knapsack: **9** ; Total: **1649** | 0.00010580 | 8.79986730 | 0.0724356675141 | 0.440177007204 | 0.26392913 | 0.0000859984131639 | 0.0220592000 | 0.2859883300 | 1 | 184 | 2.32486151841 | 5.12913785214 | 103 | 2.12512218964 | 4.64277884433 | knapsack: **203** ; srd: **134** ; bnb: **1640** ; cg: **1092** |
| bustabit-2019-2020-tiny | 380.18301318 | 1842.14123810 | 3278 | 7224 | 7526 | 3271 | 1 | 1510 | bnb: **1752** ; knapsack: **9** ; Total: **1761** | 0.00010387 | 8.99990421 | 0.0767134654702 | 0.486939506948 | 0.28313086 | 0.0000865578905533 | 0.0222904000 | 0.3054212600 | 1 | 184 | 2.30082543565 | 5.01380320316 | 103 | 2.09446652400 | 4.51527512256 | knapsack: **218** ; srd: **141** ; bnb: **1752** ; cg: **1160** |
