----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 2.43942183 | 229.461666667 | 170 | 9 | 6405 | 5990 | 0 | 2035 | bnb: **3955** ; Total: **3955** | 0.00001178 | 0.49495414 | 0.00988718797543 | 0.0541165679513 | 0.47099853 | 0.0000786308063439 | 0.00115600000 | 0.47215453000 | 1 | 5 | 1.06928213689 | 0.331525996351 | 106 | 2.05826377295 | 4.15098790751 | bnb: **3955** ; manual: **11** ; cg: **1726** ; knapsack: **295** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.48412041 | 230.218923077 | 188 | 9 | 6933 | 6490 | 0 | 2275 | bnb: **4215** ; Total: **4215** | 0.00001178 | 0.49495414 | 0.0101345682462 | 0.0543465252359 | 0.51050534 | 0.0000786602989214 | 0.00127840000 | 0.51178374000 | 1 | 5 | 1.06825885978 | 0.329558217086 | 106 | 2.06764252696 | 4.12034454425 | bnb: **4215** ; manual: **13** ; cg: **1927** ; knapsack: **328** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.38745934 | 230.558714286 | 197 | 11 | 7462 | 6988 | 0 | 2448 | bnb: **4540** ; Total: **4540** | 0.00001178 | 0.49495414 | 0.00957546147876 | 0.0524396168440 | 0.53934380 | 0.0000771814253005 | 0.00133960000 | 0.54068340000 | 1 | 5 | 1.06783056669 | 0.326723132125 | 106 | 2.06697195192 | 4.15425787229 | bnb: **4540** ; manual: **15** ; cg: **2081** ; knapsack: **345** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 2.65351107 | 230.043866667 | 180 | 13 | 7976 | 7486 | 0 | 2582 | bnb: **4904** ; Total: **4904** | 0.00001178 | 0.49495414 | 0.00920957266460 | 0.0510981250399 | 0.59329876 | 0.0000792544429602 | 0.00122400000 | 0.59452276000 | 1 | 5 | 1.06545551697 | 0.320305214474 | 106 | 2.05864279989 | 4.12038703118 | bnb: **4904** ; manual: **15** ; cg: **2192** ; knapsack: **368** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 2.17675019 | 230.300250000 | 193 | 14 | 8498 | 7985 | 0 | 2774 | bnb: **5211** ; Total: **5211** | 0.00001178 | 0.49495414 | 0.00871583012978 | 0.0493401336988 | 0.63328216 | 0.0000793089743269 | 0.00131240000 | 0.63459456000 | 1 | 5 | 1.06424546024 | 0.315363549255 | 106 | 2.06224170319 | 4.12635575998 | bnb: **5211** ; manual: **17** ; cg: **2339** ; knapsack: **411** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.48633006 | 230.278470588 | 185 | 14 | 9027 | 8485 | 0 | 2965 | bnb: **5520** ; Total: **5520** | 0.00001178 | 0.49495414 | 0.00866765220573 | 0.0490141289503 | 0.65988906 | 0.0000777712504420 | 0.00125800000 | 0.66114706000 | 1 | 5 | 1.06387743076 | 0.313039432116 | 106 | 2.06281673542 | 4.09184857226 | bnb: **5520** ; manual: **17** ; cg: **2502** ; knapsack: **439** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.09566021 | 230.097333333 | 191 | 15 | 9545 | 8984 | 0 | 3094 | bnb: **5890** ; Total: **5890** | 0.00001178 | 0.49495414 | 0.00853175459599 | 0.0483936527177 | 0.71192633 | 0.0000792438034283 | 0.00129880000 | 0.71322513000 | 1 | 5 | 1.06244434550 | 0.310126094692 | 106 | 2.05732413179 | 4.13252411321 | bnb: **5890** ; manual: **17** ; cg: **2623** ; knapsack: **447** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.74014911 | 230.095894737 | 176 | 15 | 10076 | 9484 | 0 | 3273 | bnb: **6211** ; Total: **6211** | 0.00001178 | 0.49495414 | 0.00847041445768 | 0.0478039368031 | 0.75215426 | 0.0000793077035006 | 0.00119680000 | 0.75335106000 | 1 | 5 | 1.06242091944 | 0.310294192824 | 106 | 2.05672711936 | 4.11978557917 | bnb: **6211** ; manual: **18** ; cg: **2766** ; knapsack: **481** ; srd: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.11491547 | 230.165200000 | 201 | 15 | 10614 | 9984 | 0 | 3478 | bnb: **6506** ; Total: **6506** | 0.00001178 | 0.49495414 | 0.00862357586544 | 0.0480633177205 | 0.78044580 | 0.0000781696514423 | 0.00136680000 | 0.78181260000 | 1 | 5 | 1.06310096154 | 0.313035500391 | 106 | 2.05969551282 | 4.12147051793 | bnb: **6506** ; manual: **21** ; cg: **2941** ; knapsack: **507** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 1.89105439 | 230.075333333 | 193 | 15 | 11136 | 10484 | 0 | 3640 | bnb: **6844** ; Total: **6844** | 0.00001178 | 0.49495414 | 0.00834527808242 | 0.0470053269397 | 0.82266538 | 0.0000784686550935 | 0.00131240000 | 0.82397778000 | 1 | 5 | 1.06219000382 | 0.310313070630 | 106 | 2.05923311713 | 4.11976360766 | bnb: **6844** ; manual: **23** ; cg: **3085** ; knapsack: **523** ; srd: **9** |
