target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.94068055,0.03837656,1027,"[548, 229, 98, 36]",8.93237656,3.18347474,0.80673432,13.86326617,13.86326617,17,1.1132662,11876,3106,137,911,34,56,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.94142203,0.03676551,1074,"[635, 199, 111, 30]",8.93076551,2.89354878,1.09752985,13.86326617,13.86326617,17,1.1132662,11944,3038,128,975,17,46,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93724044,0.03839423,1067,"[583, 226, 145, 29]",8.93239423,2.74324687,1.25038463,13.86326617,13.86326617,17,1.1132662,11937,3045,116,983,26,58,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93074509,0.03540324,1212,"[647, 246, 178, 27]",8.92940324,3.15407427,0.84904357,13.86326617,13.86326617,17,1.1132662,12145,2837,136,1098,34,57,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93499886,0.03734370,1305,"[651, 371, 112, 43]",8.93134370,3.40153720,0.59538641,13.86326617,13.86326617,17,1.1132662,11935,3047,146,1177,30,49,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93147356,0.03840164,1038,"[599, 209, 103, 20]",8.93240164,3.25851174,0.74087923,13.86326617,13.86326617,17,1.1132662,12198,2784,126,931,24,42,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93837214,0.03628804,1108,"[598, 294, 87, 25]",8.93028804,3.03502746,0.95957853,13.86326617,13.86326617,17,1.1132662,11923,3059,129,1004,23,49,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93782921,0.03827327,1109,"[606, 219, 146, 36]",8.93227327,3.55760171,0.43556198,13.86326617,13.86326617,17,1.1132662,11956,3026,113,1007,24,36,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93779896,0.03970199,1356,"[730, 370, 94, 36]",8.93370199,3.67339793,0.31836729,13.86326617,13.86326617,17,1.1132662,11908,3074,134,1230,27,36,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93300919,0.03883202,1137,"[699, 200, 82, 29]",8.93283202,3.46028675,0.53713821,13.86326617,13.86326617,17,1.1132662,12113,2869,142,1010,18,34,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93220237,0.04324152,1072,"[634, 196, 109, 34]",8.93724152,3.18174005,0.81208223,13.86326617,13.86326617,17,1.1132662,12186,2796,120,973,16,38,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93659481,0.03726214,1081,"[649, 192, 84, 25]",8.93126214,3.66032586,0.33508336,13.86326617,13.86326617,17,1.1132662,12134,2848,140,950,30,39,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93520556,0.03662630,1307,"[739, 309, 118, 23]",8.93062630,3.85100790,0.14642641,13.86326617,13.86326617,17,1.1132662,11974,3008,122,1189,15,19,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.94243868,0.03667869,1046,"[631, 186, 76, 28]",8.93067869,3.59713319,0.39301561,13.86326617,13.86326617,17,1.1132662,11749,3233,136,921,19,31,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93840610,0.03536908,1167,"[657, 286, 94, 24]",8.92936908,3.83805300,0.15743799,13.86326617,13.86326617,17,1.1132662,12105,2877,110,1061,10,15,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93369943,0.03746445,1003,"[592, 193, 95, 21]",8.93146445,3.08894984,0.90915245,13.86326617,13.86326617,17,1.1132662,12130,2852,126,901,26,51,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93601298,0.03550669,1003,"[545, 181, 134, 31]",8.92950669,2.47931031,1.51843619,13.86326617,13.86326617,17,1.1132662,11964,3018,154,891,41,84,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93753947,0.03460457,1839,"[1127, 457, 94, 21]",8.92860457,3.96130401,0.03581812,13.86326617,13.86326617,17,1.1132662,11891,3091,141,1699,14,15,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93083709,0.03947040,1148,"[621, 242, 139, 27]",8.93347040,3.11794904,0.88100964,13.86326617,13.86326617,17,1.1132662,12315,2667,142,1029,31,55,0,[]
utxotargetsv2.2-refill2500.json,2500,0.85981511,0.93850669,0.03829815,1343,"[566, 487, 171, 20]",8.93229815,2.88462434,1.10783699,13.86326617,13.86326617,17,1.1132662,11883,3099,127,1244,35,64,0,[]
Mean,2500.00000000,0.85981511,0.93625066,0.03761510,1172.09999999,,8.93161510,3.30105524,0.69434515,13.86326617,13.86326617,17.00000000,1.11326619,12013.29999999,2968.69999999,131.25000000,1059.20000000,24.69999999,43.70000000,0E-8,
Stdev,0E-8,0E-8,0.00344201,0.00194183,192.80202554,,0.00194183,0.39802407,0.39806173,0E-8,0E-8,0E-8,0E-8,141.93033873,141.93033873,11.56617118,185.96451274,8.24046498,17.01423552,0E-8,
