target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12902134,0.02465998,394,"[152, 53, 22, 9]",8.91865998,2.89077535,0.92480950,13.86326617,13.86326617,17,1.1132662,5434,9548,207,236,1,51,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13093891,0.02661631,409,"[151, 49, 21, 16]",8.92061631,3.00616329,0.80554766,13.86326617,13.86326617,17,1.1132662,6019,8963,217,237,21,67,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12206416,0.03012338,775,"[302, 58, 219, 40]",8.92412338,3.30377768,0.51330095,13.86326617,13.86326617,17,1.1132662,5973,9009,183,619,27,55,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.15954861,0.02971511,511,"[150, 49, 105, 47]",8.92371511,2.99414946,0.78585299,13.86326617,13.86326617,17,1.1132662,5667,9315,205,351,0,46,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13659970,0.02793380,500,"[149, 71, 63, 32]",8.92193380,3.13013393,0.67459874,13.86326617,13.86326617,17,1.1132662,5714,9268,221,315,35,72,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12824661,0.02983580,420,"[155, 57, 22, 34]",8.92383580,2.89628829,0.91489547,13.86326617,13.86326617,17,1.1132662,5954,9028,199,268,1,49,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12685584,0.02837911,456,"[152, 64, 61, 34]",8.92237911,2.96115803,0.85287319,13.86326617,13.86326617,17,1.1132662,5753,9229,190,311,0,46,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.14265103,0.02771939,470,"[149, 51, 59, 34]",8.92171939,2.97112347,0.82777228,13.86326617,13.86326617,17,1.1132662,5462,9520,222,293,4,50,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.14335200,0.02995443,574,"[179, 58, 119, 44]",8.92395443,3.10236930,0.69359044,13.86326617,13.86326617,17,1.1132662,6023,8959,214,400,48,89,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13945712,0.02731240,426,"[156, 50, 38, 4]",8.92131240,2.98409660,0.81840005,13.86326617,13.86326617,17,1.1132662,6027,8955,222,248,3,48,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12303237,0.02470991,435,"[162, 52, 42, 7]",8.91870991,3.02965597,0.79186792,13.86326617,13.86326617,17,1.1132662,5134,9848,217,263,12,58,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.14008329,0.03321158,403,"[151, 58, 21, 0]",8.92721158,2.96187590,0.83409540,13.86326617,13.86326617,17,1.1132662,6542,8440,222,230,3,53,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13622074,0.02686084,458,"[150, 49, 58, 26]",8.92086084,2.97111881,0.83506578,13.86326617,13.86326617,17,1.1132662,5512,9470,220,283,6,52,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13254018,0.02826731,407,"[156, 54, 20, 37]",8.92226731,2.90284742,0.90561126,13.86326617,13.86326617,17,1.1132662,5510,9472,188,267,0,49,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.13743534,0.02812671,427,"[152, 49, 20, 34]",8.92212671,2.93697231,0.86673181,13.86326617,13.86326617,17,1.1132662,5577,9405,221,255,44,94,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12975978,0.02817211,425,"[159, 52, 36, 37]",8.92217211,2.96475003,0.84658425,13.86326617,13.86326617,17,1.1132662,5586,9396,186,284,1,47,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12833969,0.02989920,423,"[164, 68, 22, 22]",8.92389920,3.05808728,0.75294000,13.86326617,13.86326617,17,1.1132662,6630,8352,184,276,0,38,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12597335,0.02551933,423,"[152, 55, 33, 15]",8.91951933,2.99384504,0.82392845,13.86326617,13.86326617,17,1.1132662,5298,9684,213,255,1,47,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.12960468,0.02910423,439,"[151, 51, 58, 1]",8.92310423,3.02557892,0.78497834,13.86326617,13.86326617,17,1.1132662,5913,9069,223,261,1,47,0,[]
utxotargetsv2.1-refill300000.json,300000,0.85981511,1.14526593,0.02793017,455,"[153, 59, 39, 24]",8.92193017,3.03395488,0.76211519,13.86326617,13.86326617,17,1.1132662,5778,9204,222,275,27,70,0,[]
Mean,300000.00000000,0.85981511,1.13434953,0.02820255,461.50000000,,8.92220255,3.00593609,0.80077798,13.86326617,13.86326617,17.00000000,1.11326619,5775.30000000,9206.70000000,208.80000000,296.35000000,11.75000000,56.39999999,0E-8,
Stdev,0E-8,0E-8,0.00902258,0.00202581,85.35097816,,0.00202581,0.09385998,0.09370467,0E-8,0E-8,0E-8,0E-8,375.35963106,375.35963106,14.86996265,86.13286859,15.93035830,14.73056257,0E-8,
