target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2-refill10000.json,10000,0.85981511,1.05813608,0.02974430,494,"[150, 53, 120, 21]",8.92374430,2.90529208,0.97609371,13.86326617,13.86326617,17,1.1132662,6087,8895,195,344,2,48,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06162316,0.02794186,404,"[156, 49, 23, 19]",8.92194186,2.95062592,0.92907523,13.86326617,13.86326617,17,1.1132662,6048,8934,206,247,6,56,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06186608,0.02640907,440,"[160, 61, 45, 19]",8.92040907,2.94512501,0.93586601,13.86326617,13.86326617,17,1.1132662,5874,9108,204,285,14,64,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06665732,0.02577441,437,"[154, 51, 58, 11]",8.91977441,2.98209781,0.89473663,13.86326617,13.86326617,17,1.1132662,5700,9282,215,274,17,70,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.07079506,0.03042797,447,"[150, 52, 63, 6]",8.92442797,3.01089166,0.85715148,13.86326617,13.86326617,17,1.1132662,5487,9495,220,271,2,47,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.05889685,0.02989174,593,"[176, 84, 173, 13]",8.92389174,3.17735500,0.70312258,13.86326617,13.86326617,17,1.1132662,6215,8767,178,446,1,33,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06071609,0.02925618,447,"[152, 56, 82, 7]",8.92325618,2.95296619,0.92632771,13.86326617,13.86326617,17,1.1132662,6125,8857,195,297,3,49,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06837709,0.03219571,461,"[194, 66, 28, 8]",8.92619571,2.94142621,0.92726716,13.86326617,13.86326617,17,1.1132662,5633,9349,305,296,17,155,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06381674,0.02852267,461,"[168, 61, 50, 39]",8.92252267,3.12941690,0.74750986,13.86326617,13.86326617,17,1.1132662,5771,9211,179,318,7,44,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06696673,0.02686242,431,"[158, 59, 19, 51]",8.92086242,2.92995344,0.94548358,13.86326617,13.86326617,17,1.1132662,5683,9299,190,287,5,52,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06233614,0.03146781,405,"[150, 58, 26, 3]",8.92546781,2.88805918,0.98740304,13.86326617,13.86326617,17,1.1132662,5870,9112,217,237,9,59,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06648104,0.02803656,444,"[161, 58, 54, 15]",8.92203656,2.96362710,0.91112147,13.86326617,13.86326617,17,1.1132662,5659,9323,201,288,0,46,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06212067,0.03004565,495,"[165, 52, 102, 13]",8.92404565,3.05268498,0.82441487,13.86326617,13.86326617,17,1.1132662,6081,8901,206,332,8,52,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06666086,0.02828610,432,"[163, 54, 30, 33]",8.92228610,3.10604805,0.76827116,13.86326617,13.86326617,17,1.1132662,5681,9301,189,280,2,40,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.05375705,0.02693732,415,"[160, 52, 50, 8]",8.92093732,2.93165888,0.95691292,13.86326617,13.86326617,17,1.1132662,6288,8694,190,270,2,48,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06436954,0.02895390,764,"[337, 94, 102, 35]",8.92295390,3.78647985,0.08946288,13.86326617,13.86326617,17,1.1132662,5826,9156,201,568,7,13,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.04980951,0.02770892,436,"[153, 54, 75, 4]",8.92170892,2.88128638,1.01046136,13.86326617,13.86326617,17,1.1132662,6325,8657,193,286,5,49,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06256206,0.02796935,527,"[232, 78, 20, 34]",8.92196935,3.42945153,0.44928323,13.86326617,13.86326617,17,1.1132662,5988,8994,182,364,1,21,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06495925,0.02762067,677,"[237, 162, 67, 29]",8.92162067,3.56206394,0.31462231,13.86326617,13.86326617,17,1.1132662,5843,9139,199,495,10,28,0,[]
utxotargetsv2-refill10000.json,10000,0.85981511,1.06043774,0.02930028,825,"[237, 192, 216, 15]",8.92330028,3.36757088,0.51195727,13.86326617,13.86326617,17,1.1132662,6153,8829,190,660,4,30,0,[]
Mean,10000.00000000,0.85981511,1.06256725,0.02866764,501.75000000,,8.92266764,3.09470404,0.78332722,13.86326617,13.86326617,17.00000000,1.11326619,5916.85000000,9065.14999999,202.75000000,342.25000000,6.09999999,50.20000000,0E-8,
Stdev,0E-8,0E-8,0.00493764,0.00165579,120.16211637,,0.00165579,0.25077524,0.25159323,0E-8,0E-8,0E-8,0E-8,240.46649290,240.46649290,26.80116847,113.04348255,5.13911727,28.37641719,0E-8,
