target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2-refill100000.json,100000,0.85981511,1.11541420,0.02708238,440,"[152, 61, 33, 19]",8.92108238,3.01158099,0.81518860,13.86326617,13.86326617,17,1.1132662,5972,9010,219,265,19,64,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11292399,0.03169048,417,"[152, 50, 52, 6]",8.92569048,2.96488469,0.85976701,13.86326617,13.86326617,17,1.1132662,5588,9394,202,260,2,48,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10614833,0.02668191,417,"[151, 59, 27, 3]",8.92068191,3.02309025,0.81334568,13.86326617,13.86326617,17,1.1132662,5637,9345,222,240,1,47,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10993712,0.03238766,394,"[150, 50, 20, 5]",8.92638766,2.88110831,0.94583308,13.86326617,13.86326617,17,1.1132662,6116,8866,218,225,4,54,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10704399,0.02908776,486,"[149, 56, 80, 35]",8.92308776,3.05239212,0.78074230,13.86326617,13.86326617,17,1.1132662,5945,9037,209,320,31,75,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.12018349,0.02854371,467,"[187, 63, 26, 14]",8.92254371,3.08732882,0.73321015,13.86326617,13.86326617,17,1.1132662,5763,9219,216,290,4,44,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10770185,0.02922894,471,"[162, 60, 63, 16]",8.92322894,3.07187054,0.76046484,13.86326617,13.86326617,17,1.1132662,5861,9121,211,301,12,54,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10435371,0.02644046,405,"[150, 51, 20, 20]",8.92044046,2.95789842,0.88057358,13.86326617,13.86326617,17,1.1132662,5948,9034,211,241,6,54,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11263886,0.02972397,392,"[155, 53, 18, 0]",8.92372397,3.00652300,0.82038034,13.86326617,13.86326617,17,1.1132662,5507,9475,211,226,1,47,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11438990,0.02767560,435,"[156, 55, 45, 5]",8.92167560,2.96238068,0.86481999,13.86326617,13.86326617,17,1.1132662,5699,9283,218,261,7,52,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11858385,0.02931391,502,"[149, 50, 90, 39]",8.92331391,3.02373411,0.79763430,13.86326617,13.86326617,17,1.1132662,5591,9391,219,328,48,94,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10830583,0.02870189,426,"[152, 49, 45, 22]",8.92270189,2.95012570,0.88213275,13.86326617,13.86326617,17,1.1132662,5970,9012,203,268,1,47,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11422093,0.02858548,509,"[156, 50, 143, 8]",8.92258548,2.94131199,0.88514777,13.86326617,13.86326617,17,1.1132662,5906,9076,197,357,1,47,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10934277,0.02643091,412,"[149, 50, 27, 12]",8.92043091,3.02580834,0.80768415,13.86326617,13.86326617,17,1.1132662,5436,9546,219,238,24,70,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11168847,0.02900721,444,"[149, 52, 63, 5]",8.92300721,2.96110597,0.86746452,13.86326617,13.86326617,17,1.1132662,5967,9015,269,269,4,99,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10910604,0.03049275,517,"[158, 84, 87, 20]",8.92449275,3.27395121,0.55571617,13.86326617,13.86326617,17,1.1132662,5665,9317,213,349,0,46,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10029166,0.02839874,406,"[165, 49, 26, 28]",8.92239874,2.85683347,0.98374230,13.86326617,13.86326617,17,1.1132662,6464,8518,186,268,2,51,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11511319,0.02673936,411,"[150, 49, 35, 3]",8.92073936,3.04642579,0.78098783,13.86326617,13.86326617,17,1.1132662,5101,9881,218,237,2,47,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.11080690,0.02774447,509,"[150, 67, 100, 6]",8.92174447,3.16305258,0.66766222,13.86326617,13.86326617,17,1.1132662,5692,9290,221,323,25,61,0,[]
utxotargetsv2-refill100000.json,100000,0.85981511,1.10972576,0.02597110,437,"[154, 55, 45, 42]",8.91997110,2.96137758,0.87219173,13.86326617,13.86326617,17,1.1132662,6074,8908,186,296,0,46,0,[]
Mean,100000.00000000,0.85981511,1.11089604,0.02849643,444.85000000,,8.92249643,3.01113922,0.81873446,13.86326617,13.86326617,17.00000000,1.11326619,5795.10000000,9186.89999999,213.40000000,278.10000000,9.69999999,57.35000000,0E-8,
Stdev,0E-8,0E-8,0.00476863,0.00173512,41.26968429,,0.00173512,0.09368869,0.09483134,0E-8,0E-8,0E-8,0E-8,292.28733159,292.28733159,16.90966711,40.54743810,13.05494461,15.84223203,0E-8,
