Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.37640626,6217.71271429,8196,697,6707,6303,0,1694,bnb: **4609** ; Total: **4609**,0.00011155,0.04986001,0.0131742653542,0.0214422021598,0.66538119,0.000105565792480,0.0557328000,0.7211139900,1,2,1.06409646200,0.244944125181,256,3.22957321910,14.1097098152,cg: **1524** ; bnb: **4609** ; manual: **170**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.32199948,6372.38733333,8624,751,7153,6749,0,1703,bnb: **5046** ; Total: **5046**,0.00011155,0.04986001,0.0131052586729,0.0214063928263,0.67710415,0.000100326589124,0.0586432000,0.7357473500,1,2,1.05986072011,0.237246188928,256,3.20728996888,14.0638785372,cg: **1524** ; bnb: **5046** ; manual: **179**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.31391953,6535.77237500,9168,798,7606,7202,0,1711,bnb: **5491** ; Total: **5491**,0.00011155,0.04986001,0.0130445448101,0.0213746350556,0.69067873,0.0000959009622327,0.0623424000,0.7530211300,1,2,1.05609552902,0.230122084176,256,3.18286587059,14.0490153412,cg: **1524** ; bnb: **5491** ; manual: **187**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.20414185,6687.50517647,9139,852,8052,7648,0,1714,bnb: **5934** ; Total: **5934**,0.00011155,0.04986001,0.0130219244866,0.0213627453858,0.70779261,0.0000925461048640,0.0621452000,0.7699378100,1,2,1.05282426778,0.223697133321,257,3.10996338912,14.0118881357,cg: **1524** ; bnb: **5934** ; manual: **190**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.15026153,6828.26233333,9177,897,8507,8103,0,1721,bnb: **6382** ; Total: **6382**,0.00011155,0.04986001,0.0129694379431,0.0213350537166,0.71755872,0.0000885546982599,0.0624036000,0.7799623200,1,2,1.04985807726,0.217665101406,257,3.04788349994,13.7563136969,cg: **1524** ; bnb: **6382** ; manual: **197**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.13972384,6952.83800000,9032,932,8972,8568,0,1724,bnb: **6844** ; Total: **6844**,0.00011155,0.04986001,0.0129470914327,0.0213231941597,0.73103945,0.0000853220646592,0.0614176000,0.7924570500,1,2,1.04715219421,0.211976671364,257,2.96276844071,13.4577451677,cg: **1524** ; bnb: **6844** ; manual: **200**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.08273573,7066.51730000,9250,971,9460,9029,0,1730,bnb: **7299** ; Total: **7299**,0.00011155,0.04986001,0.0129025921040,0.0212995324134,0.74280394,0.0000822686831321,0.0629000000,0.8057039400,1,2,1.04773507587,0.213216963325,358,2.93642706834,13.7146513005,cg: **1524** ; bnb: **7299** ; manual: **206**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.03025920,7173.06371429,9308,1021,9910,9479,0,1735,bnb: **7744** ; Total: **7744**,0.00011155,0.04986001,0.0128657379885,0.0212798528576,0.75193002,0.0000793258803671,0.0632944000,0.8152244200,1,2,1.04546893132,0.208341274812,358,2.89281569786,13.5607901937,cg: **1524** ; bnb: **7744** ; manual: **211**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.92838020,7272.51990909,9309,1069,10362,9931,0,1742,bnb: **8189** ; Total: **8189**,0.00011155,0.04986001,0.0128145117910,0.0212523463846,0.76219889,0.0000767494602759,0.0633012000,0.8255000900,1,2,1.04339945625,0.203764875054,358,2.85711408720,13.3901191753,cg: **1524** ; bnb: **8189** ; manual: **218**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.91420390,7356.04286957,8959,1112,10851,10388,0,1742,bnb: **8646** ; Total: **8646**,0.00011155,0.04986001,0.0128145117910,0.0212523463846,0.77808288,0.0000749020870235,0.0609212000,0.8390040800,1,2,1.04457065845,0.206369122226,358,2.77541393916,13.0977802536,cg: **1524** ; bnb: **8646** ; manual: **218**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.80208350,7430.58741667,9296,1157,11418,10843,0,1823,bnb: **9020** ; Total: **9020**,0.00011155,0.04986001,0.0122523452331,0.0209376027739,0.79756900,0.0000735561191552,0.0632128000,0.8607818000,1,2,1.05302960435,0.224102871843,358,2.78649820160,13.5255970934,cg: **1599** ; bnb: **9020** ; manual: **224**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.74688677,7507.38528000,9288,1206,11869,11294,0,1827,bnb: **9467** ; Total: **9467**,0.00011155,0.04986001,0.0122257886973,0.0209223442709,0.80934560,0.0000716615548079,0.0631584000,0.8725040000,1,2,1.05091198867,0.219827743539,358,2.75172658049,13.3962154590,cg: **1599** ; bnb: **9467** ; manual: **228**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.73775179,7576.99630769,9144,1257,12318,11743,0,1830,bnb: **9913** ; Total: **9913**,0.00011155,0.04986001,0.0122059399016,0.0209109192839,0.82301893,0.0000700859175679,0.0621792000,0.8851981300,1,2,1.04896534105,0.215804778310,358,2.69888444180,13.1701625407,cg: **1599** ; bnb: **9913** ; manual: **231**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.67763151,7643.38348148,9239,1295,12780,12205,0,1833,bnb: **10372** ; Total: **10372**,0.00011155,0.04986001,0.0121861644354,0.0208995019103,0.83689495,0.0000685698443261,0.0628252000,0.8997201500,1,2,1.04711183941,0.211886744487,358,2.67709954937,13.3262531882,cg: **1599** ; bnb: **10372** ; manual: **234**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.56455995,7696.59814286,9438,1352,13315,12648,0,1948,bnb: **10700** ; Total: **10700**,0.00011155,0.04986001,0.0114767338450,0.0204698872621,0.85875658,0.0000678966302973,0.0641784000,0.9229349800,1,2,1.05273561037,0.223514016755,358,2.68066097407,13.6049993069,cg: **1711** ; bnb: **10700** ; manual: **237**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.50915490,7760.83062069,9481,1403,13764,13097,0,1954,bnb: **11143** ; Total: **11143**,0.00011155,0.04986001,0.0114418648772,0.0204480788967,0.87095161,0.0000665000847522,0.0644708000,0.9354224100,1,2,1.05092769336,0.219858486676,358,2.65839505230,13.4829686779,cg: **1711** ; bnb: **11143** ; manual: **243**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.50109348,7822.30353333,9559,1457,14210,13543,0,1958,bnb: **11585** ; Total: **11585**,0.00011155,0.04986001,0.0114187377222,0.0204335685481,0.88290756,0.0000651929085136,0.0650012000,0.9479087600,1,2,1.04925053533,0.216398654932,358,2.62866425460,13.3529713024,cg: **1711** ; bnb: **11585** ; manual: **247**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.44113200,7877.65309677,9664,1496,14677,14004,0,1961,bnb: **12043** ; Total: **12043**,0.00011155,0.04986001,0.0114014573432,0.0204226991225,0.89800629,0.0000641249850043,0.0657152000,0.9637214900,1,2,1.04805769780,0.213895821624,358,2.61311053985,13.4867081629,cg: **1711** ; bnb: **12043** ; manual: **250**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.36980932,7931.65093750,9429,1544,15129,14456,0,1963,bnb: **12493** ; Total: **12493**,0.00011155,0.04986001,0.0113899653744,0.0204154605814,0.92396188,0.0000639154593248,0.0641172000,0.9880790800,1,2,1.04655506364,0.210691149412,358,2.57436358605,13.3187463538,cg: **1711** ; bnb: **12493** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.21957466,7971.23109091,9037,1598,15575,14902,0,1963,bnb: **12939** ; Total: **12939**,0.00011155,0.04986001,0.0113899653744,0.0204154605814,1.01462948,0.0000680867990874,0.0614516000,1.0760810800,1,2,1.04516172326,0.207665683059,358,2.52724466515,13.1206540574,cg: **1711** ; bnb: **12939** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.02571285,7996.47635294,8633,1646,16027,15354,0,1963,bnb: **13391** ; Total: **13391**,0.00011155,0.04986001,0.0113899653744,0.0204154605814,1.15288965,0.0000750872508792,0.0587044000,1.2115940500,1,2,1.04383222613,0.204728336839,358,2.48228474665,12.9286496785,cg: **1711** ; bnb: **13391** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,9.93053011,8009.89954286,8333,1695,16478,15805,0,2065,bnb: **13740** ; Total: **13740**,0.00011155,0.04986001,0.0108406599467,0.0200500265132,1.20217764,0.0000760631217969,0.0566644000,1.2588420400,1,2,1.04258146156,0.201917954407,358,2.44644099968,12.7447536918,cg: **1813** ; bnb: **13740** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,9.82658465,8014.77994444,8010,1739,16934,16261,0,2154,bnb: **14107** ; Total: **14107**,0.00011155,0.04986001,0.0104015323491,0.0197449223265,1.25393667,0.0000771131338786,0.0544680000,1.3084046700,1,2,1.04138736855,0.199190597866,358,2.41135231536,12.5666475746,cg: **1902** ; bnb: **14107** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,9.61563280,8009.08470270,7590,1779,17394,16721,0,2182,bnb: **14539** ; Total: **14539**,0.00011155,0.04986001,0.0102715683731,0.0196508732764,1.38151212,0.0000826213814963,0.0516120000,1.4331241200,1,2,1.04024878895,0.196548045710,358,2.37420010765,12.3946074426,cg: **1930** ; bnb: **14539** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,9.33534549,7994.04136842,7238,1826,17847,17174,0,2208,bnb: **14966** ; Total: **14966**,0.00011155,0.04986001,0.0101537934964,0.0195645661615,1.61105916,0.0000938080330733,0.0492184000,1.6602775600,1,2,1.03918714336,0.194045622560,358,2.33946663561,12.2319174661,cg: **1956** ; bnb: **14966** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,9.08989879,7969.49728205,6841,1876,18297,17624,0,2211,bnb: **15413** ; Total: **15413**,0.00011155,0.04986001,0.0101402776436,0.0195547222122,1.79553943,0.000101880358034,0.0465188000,1.8420582300,1,2,1.03818656378,0.191651856861,358,2.30543576941,12.0765748904,cg: **1959** ; bnb: **15413** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,8.83891386,7937.04855000,6551,1932,18741,18068,0,2352,bnb: **15716** ; Total: **15716**,0.00011155,0.04986001,0.00954408734269,0.0191057509512,1.97333723,0.000109217247620,0.0445468000,2.0178840300,1,2,1.03724817357,0.189374581209,358,2.28116006199,11.9284636119,cg: **2100** ; bnb: **15716** ; manual: **252**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,8.67505593,7901.56595122,6370,1994,19179,18506,0,2553,bnb: **15953** ; Total: **15953**,0.00011155,0.04986001,0.00880990539365,0.0185091680250,2.09132253,0.000113007809899,0.0433160000,2.1346385300,1,2,1.03636658381,0.187205633339,358,2.26169890846,11.7873612634,cg: **2301** ; bnb: **15953** ; manual: **252**
