id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste,max_excess,excess
0,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,0,255,4620,,0
1,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,254,255,4620,,0
2,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,253,255,4620,,0
3,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,252,255,4620,,0
4,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,251,255,4620,,0
5,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,250,255,4620,,0
6,0.00010000,0.00006200,0.00040000,0.000402597402597,cg,1,0,2,0.04983800,249,255,4620,,0
7,0.00010000,0.00006386,0.00041200,0.000414675324675,cg,1,0,2,0.04983614,250,257,4742,,0
8,0.00010000,0.00006479,0.00041800,0.000420714285714,cg,1,0,2,0.04983521,249,257,4803,,0
9,0.00010000,0.00006479,0.00041800,0.000420714285714,cg,1,0,2,0.04983521,248,257,4803,,0
10,0.00010000,0.00006479,0.00041800,0.000420714285714,cg,1,0,2,0.04983521,248,258,4803,,0
11,0.00010000,0.00006479,0.00041800,0.000420714285714,cg,1,0,2,0.04983521,247,258,4803,,0
12,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,246,258,4813,,0
13,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,246,259,4813,,0
14,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,245,259,4813,,0
15,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,244,259,4813,,0
16,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,243,259,4813,,0
17,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,242,259,4813,,0
18,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,241,259,4813,,0
19,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,240,259,4813,,0
20,0.00010000,0.00006495,0.00041900,0.000421753246753,cg,1,0,2,0.04983505,239,259,4813,,0
21,0.00010000,0.00006510,0.00042000,0.000422727272727,cg,1,0,2,0.04983490,238,259,4822,,0
22,0.00010000,0.00006510,0.00042000,0.000422727272727,cg,1,0,2,0.04983490,237,259,4822,,0
23,0.00010000,0.00006510,0.00042000,0.000422727272727,cg,1,0,2,0.04983490,236,259,4822,,0
24,0.00010000,0.00006510,0.00042000,0.000422727272727,cg,1,0,2,0.04983490,235,259,4822,,0
25,0.00010000,0.00006448,0.00041600,0.000418701298701,cg,1,0,2,0.04983552,234,259,4782,,0
26,0.00010000,0.00005985,0.00035200,0.000354142011834,bnb,2,0,1,,233,257,4084,,0.00000503
27,0.00010000,0.00005224,0.00033700,0.000339220779221,cg,1,0,2,0.04984776,231,257,3985,,0
28,0.00010000,0.00004681,0.00030200,0.000303961038961,cg,1,0,2,0.04985319,230,257,3631,,0
29,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,229,257,3429,,0
30,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,228,257,3429,,0
31,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,227,257,3429,,0
32,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,226,257,3429,,0
33,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,225,257,3429,,0
34,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,224,257,3429,,0
