----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 2.38739323 | 227.056833333 | 167 | 9 | 6565 | 5990 | 0 | 2363 | bnb: **3623** ; knapsack: **4** ; Total: **3627** | 0.00010020 | 0.48209621 | 0.00537332987304 | 0.0331529084803 | 0.48668648 | 0.0000812498297162 | 0.00113560000 | 0.48782208000 | 1 | 6 | 1.09599332220 | 0.406945018084 | 115 | 2.08664440735 | 4.29501552762 | bnb: **3623** ; knapsack: **346** ; cg: **1981** ; manual: **10** ; srd: **30** |
| bustabit-2019-2020-tiny-utxotargets | 3.16667171 | 227.428153846 | 144 | 9 | 7099 | 6490 | 0 | 2622 | bnb: **3864** ; knapsack: **4** ; Total: **3868** | 0.00010020 | 0.48209621 | 0.00702593620900 | 0.0417875943944 | 0.53134973 | 0.0000818720693374 | 0.000979200000 | 0.532328930000 | 1 | 6 | 1.09383667180 | 0.401463931332 | 115 | 2.09322033898 | 4.32039752226 | bnb: **3864** ; knapsack: **381** ; cg: **2201** ; manual: **11** ; srd: **33** |
| bustabit-2019-2020-tiny-utxotargets | 2.62936647 | 228.257428571 | 204 | 11 | 7618 | 6988 | 0 | 2859 | bnb: **4124** ; knapsack: **5** ; Total: **4129** | 0.00010020 | 0.48209621 | 0.00674328476041 | 0.0403899928942 | 0.56053784 | 0.0000802143445907 | 0.00138720000 | 0.56192504000 | 1 | 6 | 1.09015455066 | 0.393012285453 | 115 | 2.08943903835 | 4.23583945074 | bnb: **4124** ; knapsack: **421** ; cg: **2397** ; manual: **12** ; srd: **34** |
| bustabit-2019-2020-tiny-utxotargets | 3.14135881 | 228.431866667 | 178 | 13 | 8140 | 7486 | 0 | 3031 | bnb: **4450** ; knapsack: **5** ; Total: **4455** | 0.00010020 | 0.48209621 | 0.00672970392610 | 0.0400851986067 | 0.61240204 | 0.0000818063104462 | 0.00121040000 | 0.61361244000 | 1 | 6 | 1.08736307775 | 0.386972999694 | 115 | 2.07881378573 | 4.20149637539 | bnb: **4450** ; knapsack: **447** ; cg: **2541** ; manual: **13** ; srd: **35** |
| bustabit-2019-2020-tiny-utxotargets | 2.66832710 | 229.226625000 | 199 | 14 | 8655 | 7985 | 0 | 3296 | bnb: **4684** ; knapsack: **5** ; Total: **4689** | 0.00010020 | 0.48209621 | 0.00684451651396 | 0.0403653492781 | 0.65141117 | 0.0000815793575454 | 0.00135320000 | 0.65276437000 | 1 | 6 | 1.08390732624 | 0.377833664439 | 115 | 2.08002504696 | 4.15023274806 | bnb: **4684** ; knapsack: **485** ; cg: **2767** ; manual: **14** ; srd: **35** |
| bustabit-2019-2020-tiny-utxotargets | 2.78843077 | 229.481176471 | 188 | 14 | 9184 | 8485 | 0 | 3561 | bnb: **4919** ; knapsack: **5** ; Total: **4924** | 0.00010020 | 0.48209621 | 0.00754774153609 | 0.0432124527071 | 0.67705932 | 0.0000797948520919 | 0.00127840000 | 0.67833772000 | 1 | 7 | 1.08238067177 | 0.376623612386 | 115 | 2.08214496170 | 4.12444537099 | bnb: **4919** ; knapsack: **517** ; cg: **2996** ; manual: **15** ; srd: **38** |
| bustabit-2019-2020-tiny-utxotargets | 3.81032560 | 229.664222222 | 197 | 15 | 9712 | 8984 | 0 | 3724 | bnb: **5255** ; knapsack: **5** ; Total: **5260** | 0.00010020 | 0.48504027 | 0.00744324428571 | 0.0429958759222 | 0.72991431 | 0.0000812460273820 | 0.00133960000 | 0.73125391000 | 1 | 7 | 1.08103294746 | 0.372284859053 | 115 | 2.07813891362 | 4.11186051739 | bnb: **5255** ; knapsack: **542** ; cg: **3133** ; manual: **16** ; srd: **38** |
| bustabit-2019-2020-tiny-utxotargets | 3.07400024 | 230.481894737 | 186 | 15 | 10238 | 9484 | 0 | 3956 | bnb: **5523** ; knapsack: **5** ; Total: **5528** | 0.00010020 | 0.48504027 | 0.00715236939585 | 0.0417417198554 | 0.77050556 | 0.0000812426781949 | 0.00126480000 | 0.77177036000 | 1 | 7 | 1.07950231970 | 0.369120076694 | 115 | 2.07792070856 | 4.06282281429 | bnb: **5523** ; knapsack: **577** ; cg: **3330** ; manual: **16** ; srd: **38** |
| bustabit-2019-2020-tiny-utxotargets | 3.09026662 | 231.075500000 | 199 | 15 | 10775 | 9984 | 0 | 4221 | bnb: **5757** ; knapsack: **6** ; Total: **5763** | 0.00010020 | 0.48504027 | 0.00732262637053 | 0.0420833733105 | 0.80133362 | 0.0000802617808494 | 0.00135320000 | 0.80268682000 | 1 | 7 | 1.07922676282 | 0.367236203540 | 115 | 2.07572115385 | 4.01563051975 | bnb: **5757** ; knapsack: **615** ; cg: **3558** ; manual: **16** ; srd: **38** |
| bustabit-2019-2020-tiny-utxotargets | 1.69841916 | 231.070000000 | 171 | 15 | 11301 | 10484 | 0 | 4385 | bnb: **6093** ; knapsack: **6** ; Total: **6099** | 0.00010020 | 0.48504027 | 0.00718475986317 | 0.0414661963473 | 0.85014683 | 0.0000810899303701 | 0.00116280000 | 0.85130963000 | 1 | 7 | 1.07792827165 | 0.363262454700 | 115 | 2.07678367035 | 3.99798658124 | bnb: **6093** ; knapsack: **640** ; cg: **3695** ; manual: **16** ; srd: **40** |
