----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 4.88291872 | 728.821833333 | 743 | 9 | 6230 | 5991 | 0 | 2755 | bnb: **3230** ; knapsack: **6** ; Total: **3236** | 0.00050004 | 0.49798338 | 0.0217035592632 | 0.0739336258794 | 0.46426464 | 0.0000774936805208 | 0.00505240000 | 0.46931704000 | 1 | 15 | 1.03989317309 | 0.365787629080 | 226 | 2.17976965448 | 7.08785068922 | knapsack: **326** ; bnb: **3230** ; cg: **2395** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 6.96067263 | 725.319230769 | 556 | 9 | 6730 | 6491 | 0 | 2973 | bnb: **3512** ; knapsack: **6** ; Total: **3518** | 0.00050004 | 0.49798338 | 0.0244813512445 | 0.0782764453648 | 0.49500045 | 0.0000762595054691 | 0.00378080000 | 0.49878125000 | 1 | 15 | 1.03682021260 | 0.351575798723 | 226 | 2.12247727623 | 6.81362758656 | knapsack: **332** ; bnb: **3512** ; cg: **2607** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 1.95952462 | 703.676857143 | 348 | 11 | 7233 | 6989 | 0 | 3321 | bnb: **3662** ; knapsack: **6** ; Total: **3668** | 0.00050004 | 0.49798338 | 0.0284944984523 | 0.0844838104476 | 0.52144348 | 0.0000746091686937 | 0.00236640000 | 0.52380988000 | 1 | 15 | 1.03491200458 | 0.340350981944 | 226 | 2.09228788096 | 6.56840055490 | knapsack: **338** ; bnb: **3662** ; cg: **2949** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 6.24129154 | 681.595066667 | 426 | 13 | 7733 | 7487 | 0 | 3585 | bnb: **3896** ; knapsack: **6** ; Total: **3902** | 0.00050004 | 0.49798338 | 0.0292650107671 | 0.0852490427937 | 0.57343961 | 0.0000765913730466 | 0.00289680000 | 0.57633641000 | 1 | 15 | 1.03285695205 | 0.329735114546 | 226 | 2.08788566849 | 6.36659658907 | knapsack: **340** ; bnb: **3896** ; cg: **3211** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 10.40402428 | 677.668750000 | 985 | 14 | 8274 | 7986 | 0 | 3835 | bnb: **4145** ; knapsack: **6** ; Total: **4151** | 0.00050004 | 0.49798338 | 0.0289572153272 | 0.0849254827453 | 0.61216217 | 0.0000766544164788 | 0.00669800000 | 0.61886017000 | 1 | 15 | 1.03606311044 | 0.330008979630 | 226 | 2.15514650639 | 6.30385648410 | knapsack: **358** ; bnb: **4145** ; cg: **3421** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 9.78980974 | 694.274941176 | 1158 | 14 | 8780 | 8486 | 0 | 4041 | bnb: **4439** ; knapsack: **6** ; Total: **4445** | 0.00050004 | 0.49798338 | 0.0277064188765 | 0.0829548216510 | 0.63979870 | 0.0000753946146594 | 0.00787440000 | 0.64767310000 | 1 | 15 | 1.03464529814 | 0.322010164351 | 226 | 2.16898420929 | 6.15051513088 | knapsack: **363** ; bnb: **4439** ; cg: **3622** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 9.81833784 | 710.430555556 | 831 | 15 | 9280 | 8985 | 0 | 4225 | bnb: **4754** ; knapsack: **6** ; Total: **4760** | 0.00050004 | 0.49798338 | 0.0269519511953 | 0.0813598786148 | 0.68091118 | 0.0000757831029494 | 0.00565080000 | 0.68656198000 | 1 | 15 | 1.03283249861 | 0.313206354490 | 226 | 2.12454090150 | 5.98115583714 | knapsack: **363** ; bnb: **4754** ; cg: **3806** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 8.44778651 | 711.721052632 | 745 | 15 | 9791 | 9485 | 0 | 4568 | bnb: **4911** ; knapsack: **6** ; Total: **4917** | 0.00050004 | 0.49798338 | 0.0258008872067 | 0.0788848950589 | 0.72266914 | 0.0000761907369531 | 0.00506600000 | 0.72773514000 | 1 | 15 | 1.03226146547 | 0.308074931791 | 226 | 2.12598840274 | 5.83540261216 | knapsack: **368** ; bnb: **4911** ; cg: **4144** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 8.98217764 | 712.363500000 | 628 | 15 | 10303 | 9985 | 0 | 4837 | bnb: **5142** ; knapsack: **6** ; Total: **5148** | 0.00050004 | 0.49798338 | 0.0256081555634 | 0.0778708708485 | 0.75075186 | 0.0000751879679519 | 0.00427040000 | 0.75502226000 | 1 | 15 | 1.03184777166 | 0.302545359860 | 226 | 2.11407110666 | 5.69714307383 | knapsack: **373** ; bnb: **5142** ; cg: **4408** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 7.53190687 | 712.539714286 | 588 | 15 | 10817 | 10485 | 0 | 5049 | bnb: **5430** ; knapsack: **6** ; Total: **5436** | 0.00050004 | 0.49798338 | 0.0261773591147 | 0.0778505578521 | 0.79241844 | 0.0000755763891273 | 0.00399840000 | 0.79641684000 | 1 | 15 | 1.03166428231 | 0.297433934946 | 226 | 2.11597520267 | 5.58731952418 | knapsack: **379** ; bnb: **5430** ; cg: **4614** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 6.30256388 | 719.610727273 | 796 | 16 | 11325 | 10984 | 0 | 5253 | bnb: **5725** ; knapsack: **6** ; Total: **5731** | 0.00050004 | 0.49798338 | 0.0266482511974 | 0.0778449800153 | 0.82649185 | 0.0000752450701020 | 0.00541280000 | 0.83190465000 | 1 | 15 | 1.03104515659 | 0.292927591636 | 226 | 2.10433357611 | 5.47970549683 | knapsack: **386** ; bnb: **5725** ; cg: **4811** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 8.01607149 | 717.819739130 | 603 | 16 | 11830 | 11484 | 0 | 5559 | bnb: **5919** ; knapsack: **6** ; Total: **5925** | 0.00050004 | 0.49798338 | 0.0264007846555 | 0.0768253036394 | 0.85478636 | 0.0000744328073842 | 0.00410040000 | 0.85888676000 | 1 | 15 | 1.03012887496 | 0.287262680376 | 226 | 2.08289794497 | 5.36098355362 | knapsack: **389** ; bnb: **5919** ; cg: **5114** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 5.69064453 | 713.428583333 | 668 | 16 | 12332 | 11984 | 0 | 5794 | bnb: **6184** ; knapsack: **6** ; Total: **6190** | 0.00050004 | 0.49798338 | 0.0261806857335 | 0.0761633744568 | 0.89517559 | 0.0000746975625834 | 0.00454240000 | 0.89971799000 | 1 | 15 | 1.02903871829 | 0.281845843856 | 226 | 2.08553070761 | 5.26965692158 | knapsack: **391** ; bnb: **6184** ; cg: **5347** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 5.26611941 | 707.500720000 | 444 | 17 | 12837 | 12483 | 0 | 6105 | bnb: **6372** ; knapsack: **6** ; Total: **6378** | 0.00050004 | 0.49798338 | 0.0258682528518 | 0.0752706921746 | 0.93132431 | 0.0000746074108788 | 0.00301920000 | 0.93434351000 | 1 | 15 | 1.02835856765 | 0.277899431124 | 226 | 2.06705118962 | 5.16495157150 | knapsack: **392** ; bnb: **6372** ; cg: **5657** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 6.54664165 | 704.212846154 | 665 | 17 | 13350 | 12983 | 0 | 6338 | bnb: **6639** ; knapsack: **6** ; Total: **6645** | 0.00050004 | 0.49798338 | 0.0252874621505 | 0.0744218368514 | 0.96765802 | 0.0000745326981437 | 0.00452200000 | 0.97218002000 | 1 | 15 | 1.02826773473 | 0.274840571054 | 226 | 2.07902641916 | 5.09161876453 | knapsack: **404** ; bnb: **6639** ; cg: **5878** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 5.30654719 | 698.407629630 | 483 | 17 | 13861 | 13483 | 0 | 6642 | bnb: **6835** ; knapsack: **6** ; Total: **6841** | 0.00050004 | 0.49798338 | 0.0248143175655 | 0.0739144667942 | 1.00114257 | 0.0000742522116740 | 0.00328440000 | 1.00442697000 | 1 | 15 | 1.02803530372 | 0.271447281626 | 226 | 2.06675072313 | 4.99977691498 | knapsack: **407** ; bnb: **6835** ; cg: **6179** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 4.98198769 | 688.372071429 | 329 | 17 | 14363 | 13983 | 0 | 6971 | bnb: **7006** ; knapsack: **6** ; Total: **7012** | 0.00050004 | 0.49798338 | 0.0245541452059 | 0.0735129166507 | 1.04487685 | 0.0000747247979690 | 0.00223720000 | 1.04711405000 | 1 | 15 | 1.02717585640 | 0.266854022939 | 226 | 2.05213473504 | 4.91097249238 | knapsack: **410** ; bnb: **7006** ; cg: **6505** ; srd: **62** |
| bustabit-2019-2020-tiny-utxotargets | 6.31458113 | 679.315103448 | 445 | 17 | 14888 | 14483 | 0 | 7236 | bnb: **7241** ; knapsack: **6** ; Total: **7247** | 0.00050004 | 0.49798338 | 0.0237653036622 | 0.0722710247666 | 1.07955551 | 0.0000745394952703 | 0.00302600000 | 1.08258151000 | 1 | 15 | 1.02796381965 | 0.266905245284 | 226 | 2.05855140510 | 4.84217383544 | knapsack: **418** ; bnb: **7241** ; cg: **6755** ; srd: **69** |
| bustabit-2019-2020-tiny-utxotargets | 5.68259000 | 673.291200000 | 470 | 17 | 15414 | 14983 | 0 | 7506 | bnb: **7471** ; knapsack: **6** ; Total: **7477** | 0.00050004 | 0.49798338 | 0.0230496665414 | 0.0711303392552 | 1.11000760 | 0.0000740844690649 | 0.00319600000 | 1.11320360000 | 1 | 15 | 1.02876593473 | 0.265816193463 | 226 | 2.06213708870 | 4.77781013174 | knapsack: **431** ; bnb: **7471** ; cg: **7011** ; srd: **70** |
----END SIMULATION RESULTS----


