"Time","1-2 blocks","3 blocks","6 blocks"
2023-11-01 00:00:00,18.1,18.1,11.1
2023-11-01 00:20:00,18.1,18.1,11.1
2023-11-01 00:40:00,17.5,17.5,11.1
2023-11-01 01:00:00,15.9,15.9,11.1
2023-11-01 01:20:00,15.9,15.6,11.1
2023-11-01 01:40:00,15.9,12.8,11.1
2023-11-01 02:00:00,15.9,11.9,11.1
2023-11-01 02:20:00,15.9,12.1,11.1
2023-11-01 02:40:00,16.4,16.0,11.1
2023-11-01 03:00:00,17.5,16.6,11.1
2023-11-01 03:20:00,18.1,16.6,11.1
2023-11-01 03:40:00,18.1,16.8,11.2
2023-11-01 04:00:00,18.1,18.1,11.9
2023-11-01 04:20:00,18.1,18.1,12.1
2023-11-01 04:40:00,18.1,18.1,12.0
2023-11-01 05:00:00,18.1,18.1,12.0
2023-11-01 05:20:00,18.1,18.1,12.0
2023-11-01 05:40:00,17.9,17.5,12.0
2023-11-01 06:00:00,17.2,16.0,12.0
2023-11-01 06:20:00,17.2,15.3,11.1
2023-11-01 06:40:00,17.2,13.7,11.1
2023-11-01 07:00:00,17.2,12.2,11.1
2023-11-01 07:20:00,17.2,12.2,11.1
2023-11-01 07:40:00,17.2,12.2,11.1
2023-11-01 08:00:00,16.6,12.2,11.1
2023-11-01 08:20:00,16.6,12.2,11.1
2023-11-01 08:40:00,16.6,12.3,11.1
2023-11-01 09:00:00,16.3,12.2,11.1
2023-11-01 09:20:00,15.0,11.9,11.1
2023-11-01 09:40:00,15.0,11.9,11.1
2023-11-01 10:00:00,15.0,11.9,11.1
2023-11-01 10:20:00,15.0,11.9,11.1
2023-11-01 10:40:00,13.6,11.9,11.1
2023-11-01 11:00:00,12.3,11.9,11.1
2023-11-01 11:20:00,12.3,11.9,11.1
2023-11-01 11:40:00,12.3,11.9,11.1
2023-11-01 12:00:00,12.3,11.9,11.1
2023-11-01 12:20:00,12.3,11.9,11.1
2023-11-01 12:40:00,12.3,11.9,11.1
2023-11-01 13:00:00,11.9,11.9,11.1
2023-11-01 13:20:00,11.9,11.9,11.1
2023-11-01 13:40:00,11.9,11.9,11.1
2023-11-01 14:00:00,11.9,11.2,11.1
2023-11-01 14:20:00,11.9,11.1,11.1
2023-11-01 14:40:00,11.9,11.1,11.0
2023-11-01 15:00:00,11.9,11.1,10.7
2023-11-01 15:20:00,11.9,11.1,10.1
2023-11-01 15:40:00,11.9,11.1,10.0
