"Time","1-2 blocks","3 blocks","6 blocks"
2023-06-01 00:00:00,62.0,62.0,58.5
2023-06-01 00:20:00,61.9,61.9,61.9
2023-06-01 00:40:00,61.9,61.9,61.9
2023-06-01 01:00:00,61.9,61.9,61.9
2023-06-01 01:20:00,61.9,61.9,61.9
2023-06-01 01:40:00,61.9,61.9,61.9
2023-06-01 02:00:00,61.9,61.9,61.9
2023-06-01 02:20:00,61.9,61.9,61.9
2023-06-01 02:40:00,61.9,61.9,61.9
2023-06-01 03:00:00,61.9,61.9,61.9
2023-06-01 03:20:00,61.9,61.9,61.5
2023-06-01 03:40:00,61.9,61.9,59.6
2023-06-01 04:00:00,61.9,61.9,59.6
2023-06-01 04:20:00,61.9,61.9,59.6
2023-06-01 04:40:00,61.9,61.9,57.7
2023-06-01 05:00:00,61.9,61.9,53.3
2023-06-01 05:20:00,61.9,61.9,53.3
2023-06-01 05:40:00,62.0,62.0,53.3
2023-06-01 06:00:00,62.0,62.0,53.3
2023-06-01 06:20:00,62.0,62.0,53.3
2023-06-01 06:40:00,62.0,62.0,53.3
2023-06-01 07:00:00,62.0,62.0,53.3
2023-06-01 07:20:00,62.0,62.0,53.3
2023-06-01 07:40:00,62.0,62.0,53.3
2023-06-01 08:00:00,62.0,62.0,53.3
2023-06-01 08:20:00,62.0,62.0,53.3
2023-06-01 08:40:00,62.0,62.0,53.1
2023-06-01 09:00:00,62.0,62.0,50.7
2023-06-01 09:20:00,62.0,62.0,50.7
2023-06-01 09:40:00,62.0,62.0,50.7
2023-06-01 10:00:00,62.0,62.0,50.7
2023-06-01 10:20:00,62.0,62.0,50.7
2023-06-01 10:40:00,62.0,62.0,50.7
2023-06-01 11:00:00,62.0,62.0,50.7
2023-06-01 11:20:00,62.0,62.0,50.7
2023-06-01 11:40:00,62.1,62.0,50.8
2023-06-01 12:00:00,62.1,62.0,50.8
2023-06-01 12:20:00,62.2,62.0,50.8
2023-06-01 12:40:00,62.2,62.0,50.8
2023-06-01 13:00:00,62.2,62.0,50.8
2023-06-01 13:20:00,62.2,62.0,50.8
2023-06-01 13:40:00,62.3,62.3,50.8
2023-06-01 14:00:00,62.3,62.3,50.9
2023-06-01 14:20:00,62.3,62.3,50.9
2023-06-01 14:40:00,62.4,62.4,50.8
2023-06-01 15:00:00,62.4,62.4,50.8
2023-06-01 15:20:00,62.3,58.6,50.8
2023-06-01 15:40:00,62.1,53.4,50.8
2023-06-01 16:00:00,62.2,57.0,50.8
2023-06-01 16:20:00,62.5,62.5,50.8
2023-06-01 16:40:00,62.5,62.5,50.8
2023-06-01 17:00:00,62.5,62.5,50.8
2023-06-01 17:20:00,62.5,62.5,51.6
2023-06-01 17:40:00,62.5,62.5,53.3
2023-06-01 18:00:00,62.5,62.5,53.3
2023-06-01 18:20:00,62.6,62.6,53.3
2023-06-01 18:40:00,62.6,62.6,53.3
2023-06-01 19:00:00,62.6,62.6,53.3
2023-06-01 19:20:00,62.6,62.6,53.4
2023-06-01 19:40:00,62.6,62.6,53.4
2023-06-01 20:00:00,62.3,56.1,53.4
2023-06-01 20:20:00,62.2,56.1,53.4
2023-06-01 20:40:00,62.2,56.1,53.4
2023-06-01 21:00:00,62.2,56.1,52.3
2023-06-01 21:20:00,62.2,56.1,50.8
2023-06-01 21:40:00,62.2,56.1,50.8
2023-06-01 22:00:00,62.2,56.1,50.8
2023-06-01 22:20:00,62.2,56.1,50.8
2023-06-01 22:40:00,62.2,56.1,50.8
2023-06-01 23:00:00,62.2,56.1,50.8
2023-06-01 23:20:00,62.2,55.3,50.8
2023-06-01 23:40:00,62.2,53.5,50.8
