"Time","1-2 blocks","3 blocks","6 blocks"
2024-03-01 00:00:00,71.6,64.8,64.8
2024-03-01 00:20:00,71.6,64.8,64.8
2024-03-01 00:40:00,71.6,64.8,64.8
2024-03-01 01:00:00,71.6,64.8,64.8
2024-03-01 01:20:00,71.6,64.8,64.8
2024-03-01 01:40:00,71.6,64.8,64.8
2024-03-01 02:00:00,71.7,64.8,64.8
2024-03-01 02:20:00,70.0,64.8,64.8
2024-03-01 02:40:00,68.3,64.8,64.8
2024-03-01 03:00:00,68.3,64.8,64.8
2024-03-01 03:20:00,68.3,64.8,64.8
2024-03-01 03:40:00,68.3,64.8,64.8
2024-03-01 04:00:00,68.4,64.8,63.7
2024-03-01 04:20:00,68.4,64.8,59.0
2024-03-01 04:40:00,68.4,64.8,59.0
2024-03-01 05:00:00,68.3,64.8,59.0
2024-03-01 05:20:00,68.3,64.9,59.0
2024-03-01 05:40:00,68.3,64.9,59.0
2024-03-01 06:00:00,68.3,64.9,59.0
2024-03-01 06:20:00,68.3,64.9,59.0
2024-03-01 06:40:00,68.3,64.9,59.0
2024-03-01 07:00:00,68.3,64.9,59.0
2024-03-01 07:20:00,68.4,64.9,59.0
2024-03-01 07:40:00,68.4,64.9,58.9
2024-03-01 08:00:00,68.4,64.9,58.9
2024-03-01 08:20:00,68.4,64.8,58.9
2024-03-01 08:40:00,68.4,64.8,58.9
2024-03-01 09:00:00,68.4,64.8,58.9
2024-03-01 09:20:00,68.4,64.8,58.9
2024-03-01 09:40:00,68.4,64.8,58.9
2024-03-01 10:00:00,68.4,64.8,58.9
2024-03-01 10:20:00,68.4,64.8,58.9
2024-03-01 10:40:00,68.4,64.8,58.8
2024-03-01 11:00:00,68.4,64.9,58.8
2024-03-01 11:20:00,68.4,64.9,58.8
2024-03-01 11:40:00,68.4,64.9,58.8
2024-03-01 12:00:00,68.4,64.9,58.8
2024-03-01 12:20:00,68.5,64.9,58.8
2024-03-01 12:40:00,68.5,64.9,58.8
2024-03-01 13:00:00,68.5,64.9,58.8
2024-03-01 13:20:00,68.5,64.9,58.8
2024-03-01 13:40:00,68.5,64.9,58.8
2024-03-01 14:00:00,68.5,64.9,58.8
2024-03-01 14:20:00,68.5,64.9,58.8
2024-03-01 14:40:00,68.5,64.9,58.8
2024-03-01 15:00:00,68.5,64.9,58.8
2024-03-01 15:20:00,68.5,64.9,58.7
2024-03-01 15:40:00,65.3,64.9,58.7
2024-03-01 16:00:00,64.9,64.9,58.7
2024-03-01 16:20:00,64.8,64.8,58.7
2024-03-01 16:40:00,64.8,64.8,53.4
2024-03-01 17:00:00,64.8,64.8,53.4
2024-03-01 17:20:00,64.8,64.8,53.4
2024-03-01 17:40:00,64.8,64.8,53.4
2024-03-01 18:00:00,64.8,64.8,53.4
2024-03-01 18:20:00,64.8,64.8,53.4
2024-03-01 18:40:00,64.8,64.8,53.4
2024-03-01 19:00:00,64.8,64.8,53.4
2024-03-01 19:20:00,64.8,64.8,53.4
2024-03-01 19:40:00,64.8,64.8,53.4
2024-03-01 20:00:00,64.8,64.8,53.4
2024-03-01 20:20:00,64.8,64.8,53.3
2024-03-01 20:40:00,64.8,64.8,53.3
2024-03-01 21:00:00,64.8,64.8,53.3
2024-03-01 21:20:00,64.8,64.8,53.3
2024-03-01 21:40:00,64.8,64.8,53.3
2024-03-01 22:00:00,64.8,64.8,53.3
2024-03-01 22:20:00,64.8,64.8,53.3
2024-03-01 22:40:00,64.8,64.8,53.3
2024-03-01 23:00:00,64.8,64.8,53.3
2024-03-01 23:20:00,66.2,64.8,53.3
2024-03-01 23:40:00,68.4,64.8,53.3
2024-03-02 00:00:00,68.5,64.8,53.3
2024-03-02 00:20:00,68.5,64.8,53.3
2024-03-02 00:40:00,68.5,64.8,53.3
2024-03-02 01:00:00,68.5,64.8,53.3
2024-03-02 01:20:00,68.6,64.8,53.3
2024-03-02 01:40:00,68.6,64.8,53.3
2024-03-02 02:00:00,68.6,64.8,53.3
2024-03-02 02:20:00,68.6,64.8,53.3
2024-03-02 02:40:00,68.6,64.8,53.3
2024-03-02 03:00:00,68.6,64.8,53.3
2024-03-02 03:20:00,68.6,64.8,53.3
2024-03-02 03:40:00,68.6,64.8,53.3
2024-03-02 04:00:00,68.6,64.8,53.3
2024-03-02 04:20:00,68.6,64.8,53.3
2024-03-02 04:40:00,65.6,64.8,53.3
2024-03-02 05:00:00,64.8,64.8,53.3
2024-03-02 05:20:00,64.8,64.8,53.3
2024-03-02 05:40:00,64.8,64.8,53.3
2024-03-02 06:00:00,64.8,64.8,53.3
2024-03-02 06:20:00,64.8,64.8,53.3
2024-03-02 06:40:00,64.8,63.9,53.3
2024-03-02 07:00:00,64.8,61.8,53.3
2024-03-02 07:20:00,64.8,61.8,53.3
2024-03-02 07:40:00,64.8,61.8,53.3
2024-03-02 08:00:00,64.8,61.8,53.3
2024-03-02 08:20:00,64.8,61.8,53.3
2024-03-02 08:40:00,64.8,61.8,53.3
2024-03-02 09:00:00,64.8,61.8,53.2
2024-03-02 09:20:00,64.8,61.8,53.2
2024-03-02 09:40:00,64.8,61.8,53.2
2024-03-02 10:00:00,64.8,61.8,53.2
2024-03-02 10:20:00,64.8,61.8,53.2
2024-03-02 10:40:00,64.8,61.8,53.2
2024-03-02 11:00:00,64.8,61.8,53.2
2024-03-02 11:20:00,64.8,61.8,45.0
2024-03-02 11:40:00,64.8,61.8,32.6
2024-03-02 12:00:00,64.8,61.8,32.6
2024-03-02 12:20:00,64.8,61.8,32.6
2024-03-02 12:40:00,64.8,61.8,24.5
2024-03-02 13:00:00,64.8,61.8,24.5
2024-03-02 13:20:00,64.8,61.8,24.5
2024-03-02 13:40:00,64.8,61.8,24.5
2024-03-02 14:00:00,64.8,61.8,24.5
2024-03-02 14:20:00,64.8,61.8,24.5
2024-03-02 14:40:00,64.8,61.8,24.5
2024-03-02 15:00:00,64.8,61.8,24.4
2024-03-02 15:20:00,64.8,61.8,24.4
2024-03-02 15:40:00,64.8,61.8,24.4
2024-03-02 16:00:00,64.8,61.8,24.4
2024-03-02 16:20:00,64.8,61.8,24.4
2024-03-02 16:40:00,64.8,61.8,24.5
2024-03-02 17:00:00,64.8,61.8,24.5
2024-03-02 17:20:00,64.8,61.8,24.5
2024-03-02 17:40:00,64.8,60.9,24.5
2024-03-02 18:00:00,64.8,58.8,25.6
2024-03-02 18:20:00,64.8,58.8,25.7
2024-03-02 18:40:00,64.8,58.8,25.7
2024-03-02 19:00:00,64.8,58.8,25.7
2024-03-02 19:20:00,64.8,58.8,25.7
2024-03-02 19:40:00,64.8,58.8,25.7
2024-03-02 20:00:00,64.8,58.8,25.7
2024-03-02 20:20:00,64.8,58.8,25.7
2024-03-02 20:40:00,64.8,58.8,24.9
2024-03-02 21:00:00,64.8,58.8,24.6
2024-03-02 21:20:00,64.8,58.8,24.6
2024-03-02 21:40:00,64.8,58.8,24.6
