Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,0.28251824,185.655857143,137,20,8291,6979,0,6157,bnb: **822** ; Total: **822**,0.00019674,0.09397657,0.00213961811434,0.00737508477342,0.55554404,0.0000796022410087,0.000931600000,0.556475640000,1,12,1.18799254908,0.816088737631,2,1.88221808282,0.322372809270,knapsack: **2206** ; srd: **279** ; bnb: **822** ; cg: **3672**
bustabit-2019-2020-tiny-utxotargets,0.04715682,181.669466667,28,22,8830,7477,0,6586,bnb: **891** ; Total: **891**,0.00019674,0.09397657,0.00216594179775,0.00742976835650,0.60667938,0.0000811394115287,0.000190400000,0.606869780000,1,12,1.18095492845,0.797448444170,2,1.88083455932,0.324004751043,knapsack: **2351** ; srd: **291** ; bnb: **891** ; cg: **3944**
bustabit-2019-2020-tiny-utxotargets,0.33109891,184.558500000,181,24,9372,7974,0,7021,bnb: **953** ; Total: **953**,0.00019674,0.09397657,0.00216400716565,0.00734235773262,0.64568756,0.0000809741108603,0.00123080000,0.64691836000,1,12,1.17531978932,0.783379888999,2,1.88048658139,0.324412021466,knapsack: **2496** ; srd: **304** ; bnb: **953** ; cg: **4221**
bustabit-2019-2020-tiny-utxotargets,0.06077476,182.633294118,36,24,9955,8474,0,7460,bnb: **1014** ; Total: **1014**,0.00019674,0.09397657,0.00211408227212,0.00713848096653,0.67226120,0.0000793322161907,0.000244800000,0.672506000000,1,12,1.17476988435,0.780695157374,2,1.88033986311,0.324582841735,knapsack: **2641** ; srd: **320** ; bnb: **1014** ; cg: **4499**
bustabit-2019-2020-tiny-utxotargets,0.25001240,183.975777778,139,26,10543,8972,0,7896,bnb: **1076** ; Total: **1076**,0.00019674,0.09397657,0.00210634503546,0.00719625385268,0.72528600,0.0000808388319215,0.000945200000,0.726231200000,1,12,1.17510031208,0.778709951436,2,1.88007133304,0.324896209617,knapsack: **2779** ; srd: **341** ; bnb: **1076** ; cg: **4776**
bustabit-2019-2020-tiny-utxotargets,0.42914266,182.546421053,214,27,11162,9471,0,8335,bnb: **1136** ; Total: **1136**,0.00019674,0.09397657,0.00209233650510,0.00712129506831,0.76608559,0.0000808875081829,0.00145520000,0.76754079000,1,12,1.17854503220,0.790457899359,2,1.88005490445,0.324914475214,knapsack: **2919** ; srd: **365** ; bnb: **1136** ; cg: **5051**
bustabit-2019-2020-tiny-utxotargets,0.09228245,182.187000000,55,27,11774,9971,0,8787,bnb: **1184** ; Total: **1184**,0.00019674,0.09397657,0.00205732462957,0.00695538406779,0.79754345,0.0000799863052853,0.000374000000,0.797917450000,1,12,1.18082439073,0.794980089297,2,1.88125564136,0.323503681328,knapsack: **3057** ; srd: **394** ; bnb: **1184** ; cg: **5336**
bustabit-2019-2020-tiny-utxotargets,0.29329248,182.885047619,156,28,12362,10470,0,9218,bnb: **1252** ; Total: **1252**,0.00019674,0.09397657,0.00201353491104,0.00679450053114,0.84569600,0.0000807732569245,0.00106080000,0.84675680000,1,12,1.18070678128,0.791956336569,2,1.88042024833,0.324484962764,knapsack: **3195** ; srd: **410** ; bnb: **1252** ; cg: **5613**
bustabit-2019-2020-tiny-utxotargets,0.41950010,182.201545455,220,30,12992,10967,0,9659,bnb: **1308** ; Total: **1308**,0.00005924,0.09397657,0.00204169553577,0.00704790383230,0.88726169,0.0000809028622230,0.00149600000,0.88875769000,1,12,1.18464484362,0.801984031627,2,1.88073310842,0.324117076167,knapsack: **3336** ; srd: **434** ; bnb: **1308** ; cg: **5889**
bustabit-2019-2020-tiny-utxotargets,0.16311704,183.188695652,99,30,13553,11467,0,10100,bnb: **1367** ; Total: **1367**,0.00005924,0.09397657,0.00204073545545,0.00702733326887,0.92098218,0.0000803158786082,0.000673200000,0.921655380000,1,12,1.18191331647,0.791907483373,2,1.88078834918,0.324051524702,knapsack: **3464** ; srd: **457** ; bnb: **1367** ; cg: **6179**
bustabit-2019-2020-tiny-utxotargets,0.44371671,182.231583333,227,31,14118,11966,0,10537,bnb: **1429** ; Total: **1429**,0.00003097,0.09397657,0.00201669692512,0.00690531073509,0.96561518,0.0000806965719539,0.00154360000,0.96715878000,1,12,1.17984288818,0.790825902718,2,1.88057830520,0.324297614227,knapsack: **3567** ; srd: **468** ; bnb: **1429** ; cg: **6502**
bustabit-2019-2020-tiny-utxotargets,0.11036514,182.934960000,65,32,14714,12465,0,10964,bnb: **1501** ; Total: **1501**,0.00003097,0.09397657,0.00202901914082,0.00703830537575,1.00982394,0.0000810127509025,0.000442000000,1.01026594000,1,12,1.18042519053,0.791240137550,2,1.87958283193,0.325461781978,knapsack: **3689** ; srd: **490** ; bnb: **1501** ; cg: **6785**
bustabit-2019-2020-tiny-utxotargets,0.29362311,182.946846154,158,33,15312,12964,0,11400,bnb: **1564** ; Total: **1564**,0.00003097,0.09397657,0.00204008126053,0.00711576163559,1.04673090,0.0000807413529775,0.00107440000,1.04780530000,1,12,1.18111693922,0.790416320254,2,1.87935822277,0.325723076667,knapsack: **3852** ; srd: **511** ; bnb: **1564** ; cg: **7037**
bustabit-2019-2020-tiny-utxotargets,0.49981125,181.217407407,259,34,15895,13462,0,11834,bnb: **1628** ; Total: **1628**,0.00003097,0.09397657,0.00203114192665,0.00704229305575,1.08480374,0.0000805826578517,0.00176120000,1.08656494000,1,12,1.18073094637,0.786053382618,2,1.87906700342,0.326061504041,knapsack: **4013** ; srd: **535** ; bnb: **1628** ; cg: **7286**
bustabit-2019-2020-tiny-utxotargets,0.18538239,182.659142857,105,34,16490,13962,0,12268,bnb: **1694** ; Total: **1694**,0.00003097,0.09397657,0.00200774504565,0.00693151962443,1.13578680,0.0000813484314568,0.000714000000,1.13650080000,1,12,1.18106288497,0.785143963938,2,1.87867067755,0.326521291997,knapsack: **4159** ; srd: **563** ; bnb: **1694** ; cg: **7546**
bustabit-2019-2020-tiny-utxotargets,0.34122900,182.853931034,184,35,17103,14460,0,12707,bnb: **1753** ; Total: **1753**,0.00003097,0.09397657,0.00197545202172,0.00681334401257,1.17162786,0.0000810254398340,0.00125120000,1.17287906000,1,12,1.18278008299,0.790789719828,2,1.87876901798,0.326406799908,knapsack: **4327** ; srd: **590** ; bnb: **1753** ; cg: **7790**
bustabit-2019-2020-tiny-utxotargets,0.02414612,181.374933333,18,35,17704,14960,0,13140,bnb: **1820** ; Total: **1820**,0.00003097,0.09397657,0.00194627887062,0.00670243471182,1.20538040,0.0000805735561497,0.000122400000,1.20550280000,1,12,1.18342245989,0.789525009501,2,1.87834224599,0.326901037371,knapsack: **4477** ; srd: **615** ; bnb: **1820** ; cg: **8048**
